System Key,System Name,Solution,Vendor,Application Type,Technology,System Role,Tribe,Is NonTarget System,Status,Criticality Level,Description Geo,Description Eng,Business Domains
11,Car Booking System,,TBC Solutions,Web App,.Net,Master,Ent Serv,No,Active,Normal,TBC-ის მანქანების დაჯავშნის სისტემა,Vehicle Booking System,Others
12,Civil Registry (CRA),B6,Alta Software,Web Service,.Net,Adapter,Platform Systems,No,Active,Key,გამოიყენება სამოქალაქო რეესტრიდან კლიენტის პირადი მონაცემების მისაღებად,Gets information about individual customer from civil registry,Government & Regulatory||CIF
13,"Clearing (GPSS, Import / Export)",B6,Alta Software,Win Service,Delphi,Adapter,Platform Systems,No,Active,Key,ეროვნულთან გადარიცხვების გაცვლა,Transfers exchange with NBG,"Payments (FT, Bill Payments, Remittances)"
14,Collection Module,,CreditInfo,Web App,.Net,Master,Risks,Yes,Active,Normal,"ვადაგადაცილებული სესხების მართვის მოდული, კლიენტებთან დასაკავშიერებლად.","Module for connecting clients, that have overdue loans.",Loans||Credit Cards
15,Contact,,Contact,Win App,N/A,Master||Front,Retail Business,No,Active,Normal,ფულადი გზავნილების მოდული,Contact transfers module (fast payments),"Payments (FT, Bill Payments, Remittances)||Branch FEs (Call Centre, Branch, Back Office)"
16,CreditInfo,,Alta Software,Win App,.Net,Adapter,Retail Business,No,Active,Normal,საკრედიტო ბიუროსთან ონფორმაციის გაცვლის სისტემა. მომხმარებელი საკრედიტო ბიუროში აგზავნის კლიენტებზე და მათ დავალიანებებზე მონაცემებს,"System for exchanging of information with Credit Bureau. Web site, from where users marks and sends loans, which should be send to CreditInfo Bureau",Credit Product Origination
17,CRM,,CGI_Oracle,Web App,CRM,Master||Front,Ent Serv,No,Active,Key,CRM,Ongoing startegic implementation of Sibel CRM,"Branch FEs (Call Centre, Branch, Back Office)||CRM (Customer Relationship, Offering, Sales)"
18,Customer Protection,,TBC Solutions,Win App,.Net,Master,Payments,Yes,Active,Key,"ეროვნული ბანკის ბრძანების თანახმად ბანკი ვალდებულია კლიენტს მიაწოდოს ინფორმაცია საბოლოო ჯამური სარგებლისა და გადასახადის შესახებ, ყველა პროცენტული და საკომისიო გადასახადის გათვალისწინებით. ეს აპპ უზრუნველყოფს საბოლოო ჯამური სარგებლის დადგენას ყველა პროდ","According to the National Bank, the bank is obliged to provide clients with information about the active interest and tax, all tax and fee percentage. This application provides the ultimate determination of total benefits to all items",Debit Cards
19,DecisionMaker,,CreditInfo,Web App,.Net,Master||Mediator||Front,Retail Business,Yes,Active,Normal,სესხის განაცხადების დამუშავების სისტემა,Loan applications processing system,Credit Product Origination
20,DevelopmentNotificationsService,,TBC Solutions,Win Service,.Net,Master,Dev CA,No,Active,Normal,თუ პროგრამული კოდი არის check out-ზე დღის ბოლოს აგზავნის მეილს,"If source code is checked out, it sends mail at the end of the day",Others
21,DM_DAL,,TBC Solutions,DB App,SQL,Adapter,Retail Business,Yes,Active,Normal,იყენებს დისიჟენ მეიკერი კლიენტის სესხების შესახებ ინფორმაციის მისაღებად,Being used by Decesion Maker to get information about client's loans/debts,Credit Product Origination
22,DMReporting,,TBC Solutions,Win Service,.Net,Reporting,Retail Business,Yes,Active,Normal,"შედგება ორი ნაწილისგან:
1. XmlRetriever (Windows Service): Decision Maker-ის ონლაინ სისტემიდან xml დოკუმენტებს მოაქვს და ინახავს მონაცემთა ბაზაში
2. XmlParser (Windows Service): მონაცემთა ბაზაში არსებული xml დოკუმენტების შიგთავსი გადააქვს SQL ცხრილებში","Consists of two parts: 
1. XmlRetriever (Windows Service): Takes XML from DM and saves in DB for reporting
2. XmlParser (Windows Service): Parses XMLs taken from DM for reporting
",Credit Product Origination
23,DocsReport,,TBC Solutions,Win App,Delphi,Reporting,Ent Serv,Yes,Active,Normal,საეჭვო ოპერაციების იდენტიფიკაციის მოდული. გამოიყენება ეროვნულ ბანკში საეჭვო ოპერაციების შესახებ ინფორმაციის გასაგზავნად,Module to identify suspicious transactions. It is used for sending information of suspicious transactions to National Bank of Georgia.,Compliance
24,DW,,TBC Solutions,DB App,SQL / Reporting,Reporting,Platforms,No,Active,Normal,მონაცემთა საცავი (data warehouse),Data warehouse,DW & Analytics
25,EmplosaurusService,,Asseco,Win Service,.Net,Master,Ent Serv,Yes,Active,Normal,"აგზავნის მეილებს, არის რეკრუიტმენტის ნაწილი",Sends Mails for Recruitment,HRM
26,FilialsInfo,,TBC Solutions,Win App,.Net,Master,Ent Serv,Yes,Active,Normal,"მომხმარებლის მიერ თანამშრომლის პოზიციების მონიშვნით, მათი ელფოსტის მისამართები ავტომატურად იწერება Microsoft Outlook-ის ახალი მეილის TO ველში.","User marks employee's positions by branches and their addresses are automatically copied into Microsoft Outlook new mail ""TO"" field.",HRM
27,Fixed Assets,,TBC Solutions,Win App,Delphi,Master,Ent Serv,Yes,Active,Normal,ინვენტარის და ფიქსირებული აქტივების აღრიცხვა,Inventory and fixed assets accounting system,GL & ERP
28,FMS,,TBC Solutions,Win App,.Net,Adapter,Ent Serv,No,Active,Normal,DocsReport-იდან აკეთებს საეჭვო ტრანზაქციების ანგარიშგებების იმპორტს (აგრეთვე შესაძლებელია მოდულში ახლის დარეგისტირებაც) და მონაცემებს აგზავნის ფინანსური მონიტორინგის სამსახურში,Imports reports of suspicious transactions from DocsReport system and sends data to FMS (Financial Monitoring Service of Georgia),Compliance
29,FXRates,,TBC Solutions,Win App,.Net,Master,Ent Serv,No,Active,Normal,"კურსების კვოტირების მოდული. ვალუტის საბაზრო კურსს იღებს ბლუმბერგიდან, თვლის კომერციულ კურსს, ალოგირებს და ასახავს B2000-ში.","Courses quoting module. Gets currency's market rate from Bloomberg, calculates the commercial rate, logs and writes in B2000.",Treasury
30,FXRatesService,,TBC Solutions,Web Service,.Net,Adapter,Ent Serv,No,Active,Normal,"კურსების (ტოპ კომერციული, კომერციული, ვიპ კომერციული, ფორვარდული კურსები) გაგების სერვისი","Service for getting rates (Top comercial, Vip comercial, Forward rates)",Treasury
31,HRGoals,,TBC Solutions,Web App,.Net,Master,Ent Serv,Yes,Active,Normal,სათაოს თანამშრომლების შეფასების აღრიცხვის სისტემა,Head office employees evaluating system.,HRM
32,IDProgram,,TBC Solutions,Web App,.Net,Master,Ent Serv,Yes,Active,Normal,სამუშაო საათების აღრიცხვის მოდული განვადების მენეჯერებისთვის,Module for instalment managers to accout daily their working ours.,Credit Product Origination||HRM
33,IDManager,,TBC Solutions,Win App,.Net,Master,Ent Serv,Yes,Active,Normal,IDProgram-ის მენეჯმენტ სისტემა,Management system for IDProgram,Credit Product Origination||HRM
34,IFRS and BASEL Reporting,,TBC Solutions,DB App,SQL,Reporting,Ent Serv,No,Active,Normal,"IFRS და  BASEL რეპორტები, DW-ს ნაწილი, BASEL-ს აქვს სამომხმარებლო ინტერფეისები (აპლიკაციაა)",IFRS and BASEL Reports,DW & Analytics
35,InsurancePolices,,TBC Solutions,Win App,.Net,,Ent Serv,No,Cancelled,,"სადაზღვევო პოლისების აღრიცხვის მოდული. აკეთებს ბანკის მიერ შეძენილი სადაზღვევო პოლისების აღრიხვას, ბანკის კუთვნილი ობიექტების აღრიცხვას და მონიტორინგს და აწარმოებს რეპორტინგს.",Insurance policies accounting module. Registers insurance policies purchased by the bank and bank-owned properties. It is also used for monitoring and reporting.,GL & ERP
36,InsurersLoanService,,TBC Solutions,Win Service,.Net,Adapter,Retail Business,No,Active,Normal,დაზღვევების თანხების შესახებ ინფორმაციის მიწოდების სერვისი (TBC Insurance-ისთვის),Service for insurance amounts information (for TBC Insurance),Loans
37,IntelExpress,,IntelExpress,Win App,N/A,Master||Front,Retail Business,No,Active,Normal,ფულადი გზავნილების მოდული,Money Transfer Module,"Payments (FT, Bill Payments, Remittances)||Branch FEs (Call Centre, Branch, Back Office)"
38,Interbanking (zkDiscountOperations),,TBC Solutions,Win App,Delphi,Master||Front,Ent Serv,Yes,Active,Normal,ბანკთაშორისი პროდუქტების მართვის სისტემა,Interbank Product Management System,Treasury
39,Intranet,,TBC Solutions,Web App,.Net,,Ent Serv,Yes,Cancelled,,ინტრანეტი,Intranet,HRM
40,IT Help Desk (Service Desk),,ZOHO,Web App,N/A,Master,,No,Active,Normal,პროგრამული და ტექნიკური ხარვეზების და მოთხოვნების რეგისტრაციის მოდული,IT Help Desk module (site),Others
41,ItrsXmlReport,,Alta Software,Win App,.Net,Reporting,Ent Serv,No,Active,Normal,ITRS კოდების რეპორტის გენერირება (ეროვნულისთვის). რეპორტი გენერირდება ფაილის სახით,Module for generating ITRS code reports (for NBG). The report is generated in the form of file,DW & Analytics
42,Jobs,,TBC Solutions,Win App,Delphi,Master,Digital,Yes,Active,Normal,"წინასწარი დავალებების და საკომისიოების რეგისტრაციისა და ჩამოჭრის, მიმდინარე ანგარიშების მომსახურების საკომისიოების ჩამოჭრის და ანგარიშების დახურვის მოდული.","Module for registering and taking comissions and standing orders, taking current accounts service fee and closing accouts. ",CASA
43,Learning management system,,Onyx,Web App,.Net,Master,Ent Serv,No,Active,Normal,ტესტირების მოდული,Testing module,HRM
44,LMS,LMS,Alta Software,Win App,.Net,Master||Front,Platform Systems,No,Active,Critical,სესხების მართვის სისტემა,Loan Management System,"Loans||Branch FEs (Call Centre, Branch, Back Office)"
45,Loan,,TBC Solutions,Win App,Delphi,Master,Platform Systems,Yes,Active - Archive,Normal,სესხების ძველი სისტემა,The old system of loans,Loans
46,Loan Extension,,TBC Solutions,Win App,.Net,Master,Retail Business,Yes,Active,Normal,"TBC CARD-ების მონაცემების აღრიცხვა, ჩამოწერა, დარეზერვება და მენეჯერებზე მიბმა","System for management of TBC CARDs. Accounting, writing off, reservation and defining credit manager portfolio.",Credit Cards
47,Lombard,,TBC Solutions,Win App,Delphi,,Retail Business,Yes,Cancelled,,საცალო ლომბარდი,Retail Lombard,"Loans||Branch FEs (Call Centre, Branch, Back Office)"
48,Lombard Middleware,,TBC Solutions,Web Service,.Net,,Retail Business,Yes,Cancelled,,"სხვადასხვა სისტემებისთვის (B2000, TBC Pay) Lombard-ის სესხის შესახებ ინფორმაციის მიწოდება და ოპერაციების დამუშავება","Middleware service between Lombard and other systems (B2000, TBC Pay)",Loans||Integration
49,M Files,Doc Storage,Open Source,App,N/A,Master,Platforms,No,Active,Critical,დოკუმენტაციის არქივაციის მოდული,Module for storing scanned documents,Others
50,MagtiService (B2B),B2B,TBC Solutions,Web Service,.Net,Adapter,CIB,Yes,Active,Normal,სერვისი აბრუნებს ამონაწერს  მაგთის ანგარიშებზე.,The service returns statement of Ltd MAGTI accounts.,Open Banking
51,MC Checkout,,TBC Solutions,Win App,.Net,Master,Payments,No,Active,Normal,Mastercard-თან ანგარიშსწორების მოდული,Module for Settlement to Mastercard,Card Payments
52,MobileBonus,,TBC Solutions,Win App,.Net,Adapter,Digital,Yes,Active,Normal,"კლიენტის მობილურებზე ბონუს წუთების დარიცხვა
იყენებს სიმონის ჯგუფი",Accruals minutes on client mobile phone number.,"CRM (Customer Relationship, Offering, Sales)"
53,MOF,B6,Alta Software,App,.Net,Adapter,Platform Systems,No,Active,Key,ფინანსთა სამინისტროსთან ინფორმაციის გაცვლა,Information Exchange with Ministry of Finance,Government & Regulatory
54,MRS,,TBC Solutions,DB App,SQL / Reporting,Reporting,Ent Serv,Yes,Active,Normal,რეპორტებისთვის დამატებითი მენეჯერული ინფორმაციების აღრიცხვა და რეპორტინგი,Additional reports for managerial accounting information and reporting,DW & Analytics
55,MS,MS,AzRy,Web App,Java,Master,Platform Systems,No,Active,Critical,სმს-ების გაგზავნის სისტემა,AzRy Messaging System,Self Service Channels||Customer Notification
56,Multichannel,,BSC,App,Java,Front,Digital,No,Active,Critical,"მულტიჩანელის სისტემა (ინტერნეტბანკი, მობაილბანკი)","Multichannel system (Internet, mobile banking)",Self Service Channels
57,NAPR,B6,Alta Software,Web Service,.Net,Adapter,Platform Systems,No,Active,Key,"უზრუნველყოფს კლიენტის შემოწმებას და მისი მონაცემების მიღებას საჯარო რეესტრიდან (NAPRIdentity).
კლიენტის ახალი ანგარიშის გახსნის შემდეგ, ბანკი საჯარო რეესტრში აგზავნის კლიენტის პირად ნომერს ან საგადასახადო კოდს, თუ კლიენტი მოვალეთა ბაზაში აღმოჩნდება რეგისტ","Verifies the client in the public registry database and gets information (NAPRIdentity). 
After openning new account, bank sends the customer's personal ID number or tax code in public registry, and then - all the necessary requisites, if the client is re",Credit Product Origination||Government & Regulatory
58,NAPR Customer Registration,,TBC Solutions,Web Service,.Net,Adapter,Daily Operations,Yes,Active,Key,საჯარო რეესტრიდან კლიენტის ავტომატური რეგისტრაცია და ანგარიშის გახსნა,Registers legal customer and opens accounts in B2000 based on requests received from NAPR,CASA||Open Banking
59,NBG Reporting,,TBC Solutions,DB App,SQL,Reporting,Ent Serv,No,Active,Normal,ეროვნულის ფინანსური ანგარიშგების სისტემა,Reporting system for NBG,DW & Analytics
60,NetRateService,,TBC Solutions,Win Service,.Net,Adapter,Ent Serv,Yes,Active,Normal,B2000-დან იღებს კომერციულ კურსებს ფილიალებში არსებული კურსების ტაბლოებისთვის,Gets comecial rates from B2000 for Rates tables (screens),Treasury
61,Online Chat,,HelixGroup,Web App,.Net,Front,Digital,No,Active,Normal,ონლაინ კონსულტაცია,Online Consultation,"Branch FEs (Call Centre, Branch, Back Office)"
62,Payroll,,TBC Solutions,Win App,.Net,Master,Daily Operations,Yes,Active,Normal,სახელფასო პროექტის შეთავაზების აღმრიცხავი მოდული,"Payroll projects offering module ","Branch FEs (Call Centre, Branch, Back Office)||Product Bundling & Pricing"
63,Permission AdminR,,TBC Solutions,Win App,.Net,Master,Platforms,Yes,Active,Normal,მომხმარებელთა უფლებების მართვა,Users' Rights Management,Op Rsiks & Security
64,PipeLine,,TBC Solutions,Web App,.Net,Master,Retail Business,Yes,Active - Archive,Normal,"ძველი WEB, იყენებდნებ DM-ის დანერგვამდე. ახალი პროექტებს არ არეგისტრირებენ, მაგრამ ძველებს ნახულობენ. (თ. მიროტაძის განყოფილება)","Old Loan Origination System, currently is in readonly mode",Credit Product Origination
65,Procash,,BS2,Win App,Java,Master,Ent Serv,No,Active,Normal,პროქეშების მართვის სისტემა,Procash Machines (cash-machines) Management System,"Branch FEs (Call Centre, Branch, Back Office)||Cash Management"
66,Q-MATIC,,NGT,Web App,N/A,Master||Front,Daily Operations,No,Active,Normal,რიგების მართვის სისტემა,Queues management system,Others
67,RISKS,,TBC Solutions,Win App,Delphi,Master,Risks,Yes,Active,Normal,"ინციდენტების აღრიცხვის მოდული. აღირიცხება სხვადასხვა კატეგორიის რისკის მატარებელი ინციდენტები, გააჩნია სტატისტიკური რეპორტის ფორმები.",Module for registration of various kinds of risk incindents. Has statistical reporting forms.,Op Rsiks & Security
68,RMA,,TBC Solutions,DB App,SQL,Reporting,Ent Serv,Yes,Active,Normal,რეპორტინგის მოდული. აგენერირებს კლიენტების სეგმენტებს,Module for registration of various kinds of risk incindents. Has statistical reporting forms.,DW & Analytics
69,Safe Boxes,,TBC Solutions,Win App,Delphi,Master||Front,Daily Operations,Yes,Active,Normal,შემნახველი სეიფები,Safe deposit boxes,"Branch FEs (Call Centre, Branch, Back Office)"
70,Salaro,,TBC Solutions,Win App,Delphi,Master,Ent Serv,Yes,Active,Normal,სალაროებში არსებული კუპიურების რაოდენობისა და მდგომარეობის აღრიცხვა,Module for accounting banknotes,Cash Management
71,Salary,,TBC Solutions,Win App,Delphi,Master||Front,CIB,Yes,Active,Normal,კლიენტების ხელფასების ავტომატური ჩარიცხვის მოდული. ფილიალებში გამოიყენება კლიენტ-ორგანიზაციის თანამშრომლებზე ხელფასების დასარიცხად,Salary payments module for corporate clients,"Branch FEs (Call Centre, Branch, Back Office)"
72,ShadySearching,,TBC Solutions,Win App,Delphi,Reporting,Ent Serv,Yes,Active,Normal,ფილტრავს გატარებულ საბუთებს სხვადასხვა პარამეტრების მიხედვით და ასახავს ფორმაზე.,Identification of risk transactions,Compliance
73,SharePoint Solutions,,TBC Solutions,Web App,SharePoint,Master,,No,Active,Normal,ტასკების და ბაგების აღირიცხვის მოდული დეველოპერებისთვის; სტანდარტების და პროცედურების პორტალი; კომიტეტების ამოცანების აღრიცხვა და ა.შ.,Tasks and bugs managment module for Development department; Web-portal for bank standards and procedures; Committee Documents; etc.,Others
74,SMS Middleware,MS,TBC Solutions,Web Service,.Net,Adapter,Platform Systems,Yes,Active,Key,MS (AzRy) სისტემასა და საბანკო სისტემებს შორის შუალედური სერვისი,Middleware service between MS (AzRy) system and bank modules,Customer Notification||Integration
75,Software Libraries,,TBC Solutions,Library,.Net,Master,Dev CA,No,Active,Normal,პროგრამული ბიბლიოთეკები,Software Libraries,Others
76,Staff,Staff,TBC Solutions,Win App,Delphi,Master,Ent Serv,Yes,Active - Archive,Normal,კადრების მართვის სისტემა,Human Resources Management System,HRM
77,StaffAttendance,,TBC Solutions,Win App,.Net,,Ent Serv,Yes,Cancelled,,თანამშრომელთა დასწრების აღრიცხვის მოდული,Staff Attendance Registration Module,HRM
78,StaffService,Staff,TBC Solutions,Win Service,.Net,Adapter,Ent Serv,Yes,Active,Normal,სააპლიკაციო ფორმისთვის ინფორმაციის მიწოდება და წამოღება,Delivers and takes information for application forms,HRM
79,StaffSyncService,Staff,TBC Solutions,Win Service,.Net,Adapter,Ent Serv,Yes,Active,Normal,Staff-დან აკეთებს მონაცემების სინქრონიზაციას დომეინთან,Synchronizes data from Staff to Domain.,HRM
80,S1,,CRIF,Win App,N/A,Master,Risks,No,Active,Normal,კლიენტების scoring-ის სისტემა (სესხებისთვის),Clients scoring system (Loans),Credit Product Origination
81,TariffPackages,,TBC Solutions,Win App,Delphi,Master,Daily Operations,Yes,Active,Key,კლიენტების სატარიფო პაკეტების მართვის მოდული.,Module for managing tariff packages.,Product Bundling & Pricing
82,Tariffs,B6,TBC Solutions,Win App,Delphi,Master,Platform Systems,Yes,Active,Critical,ანგარიშებისთვის ტარიფების განსაზღვრის მოდული. (ტარიფების ანგარიშებზე მიბმა ხდება BANK2000-ში),Accounts fees management module.,Product Bundling & Pricing
83,TBC Auth,,TBC Solutions,Win App,.Net,Master,Platforms,Yes,Active,Critical,ცენტრალიზებული აუტენტიფიკაციის მოდული,Centralized Authentication Module,Op Rsiks & Security
84,TBC Card Invoices,,TBC Solutions,Web App,.Net,Master||Front,Retail Business,Yes,Active,Normal,საკრედიტო ბარათების ინვოისებისა და ინვოისების არქივის მოდული.,Module for credit cards invoices and archive of invoices.,"Credit Cards||Branch FEs (Call Centre, Branch, Back Office)"
85,TBC Reporting System,,TBC Solutions,Win App,.Net,Reporting,Ent Serv,No,Active,Normal,ანალიტიკური და ოპერაციული რეპორტების სისტემა,System for Analytical and operational reports,DW & Analytics
86,TBC_FinReporting,,TBC Solutions,Win App,.Net,,Ent Serv,Yes,Cancelled,,"რეპორტინგის მოდული რეპორტინგის განყოფილებისათვის (ანა რომელაშვილი). რეპორტის შედგენა ხდება SQL სკრიპტის მსგავსად, მათ მიერვე.",Reporting module for eporting department (Anna Romelashvili).,DW & Analytics
87,TBCCardWebService,,TBC Solutions,Web Service,.Net,Mediator,Retail Business,Yes,Active,Normal,"თიბისი ქარდებზე ინფორმაციას აწვდის კლიენტების ცენტრს, AzRy ტერმინალებს, DM Dal-ს","Delivers information about TBC/Prime Cards to Clients Center (B2000), AzRy Terminals, DM Dal",Credit Cards
88,TreasuryInfo,,TBC Solutions,Win App,Delphi,,Ent Serv,Yes,Cancelled,,"ხაზინის ოპერაციების მართვის მოდული (კონვერტაციის კურსების შეთანხმება, ნაღდი ფულისა და სხვა ფასეულობების ინკასაციის, მოსალოდნელი შემოსავალ-გასავლების, კონვერტაციების განაცხადები)","Treasury management module (Applications for exceptional exchange rates, request for cash and other valuables delivey, expected cash deposit, withdrowal, conversion)",Treasury
89,TurnOverSender (B2B),B2B,TBC Solutions,Win Service,.Net,Mediator,CIB,Yes,Active,Normal,"სამი Win სერვისი სოკარი, თელასი, თბილწყალკანალითვის. ყოველდღიურად იღებს ინფორმაციას ამ კომპანიების ანგარიშებზე შესრულებული ტრანზაქციების შესახებ და აწვდის ამ ინფორმაციას მათი ვებსერვისის გამოყენებით.",Gets information about transactions for specific companies and delivers it using their webservices,Open Banking
90,UFCNotificationService,,TBC Solutions,Web Service,.Net,Mediator,Platform Systems,No,Active,Normal,საბარათე ოპერაციების (ავტორიზაციების) შესახებ ინფორმაციის მიღების სერვისი (SMS-ებისთვის),Listener web-service for UFC. Receives card authorization notifications (for SMS module),Customer Notification
91,UMTS,,AzRy,Web App,Java,Master||Front,Retail Business,No,Active,Key,ფულადი გზავნილების ერთიანი სისტემა,United Money Transfer System,"Payments (FT, Bill Payments, Remittances)||Branch FEs (Call Centre, Branch, Back Office)"
92,Unistream,,Unistream,Win App,N/A,Master||Front,Retail Business,No,Active,Normal,გადარიცხვები იუნისტრიმის სისტემით,Unistream transfers (fast payments),"Payments (FT, Bill Payments, Remittances)||Branch FEs (Call Centre, Branch, Back Office)"
93,UPS/OPC/MPS,,AzRy,App,Java,Master||Mediator,Payments,No,Active,Critical,ერთიანი საგადამხდელო სისტემა,AzRy United payments system,"Payments (FT, Bill Payments, Remittances)"
94,VacationManagement,,TBC Solutions,Web App,.Net,Master,Ent Serv,Yes,Active,Normal,ახალია. შვებულებების მართვის მოდული. ამოცანის მიზანია გაამარტივოს ფილიალებში შვებულებების დაგეგმვა.,New. Vacations management module.,HRM
95,VSS Reader,,TBC Solutions,Win App,Delphi,Master,Payments,Yes,Active,Normal,VISA-თან ანგარიშსწორების მოდული,Module for Settlement to VISA,Card Payments
96,Western Union,,Western Union,Win App,N/A,Master||Front,Retail Business,No,Active,Normal,გადარიცხვები ვესტერნ უნიონის სისტემით,Western Union (fast payments),"Payments (FT, Bill Payments, Remittances)||Branch FEs (Call Centre, Branch, Back Office)"
97,WissolService (B2B),B2B,TBC Solutions,Web Service,.Net,Adapter,CIB,Yes,Active,Normal,ვისოლისთვის ანგარიშებზე ამონაწერის (ბრუნვების) მიწოდება,Wissol accounts turnover delivery serice,Open Banking
98,Arc Sight,,ISSP,Win Service,N/A,Master,Ent Serv,No,Active,Normal,"საეჭვო ტრანზაქციების, ანგარიშების, კლიენტების და პროგრამის მომხმარებლების მონიტორინგის მოდული","Module for moritoring suspicious transactions, accounts, customers and users",Op Rsiks & Security
99,Web Sense,,ISSP,Win App,N/A,Master,Ent Serv,No,Active,Normal,"ინფორმაციის გადინების თავიდან ასაცილებელი და საკონტროლებელი სისტემა, Web Proxy და Mail Gateway","System for monitoring leaking information (Web Proxy, Mail Gateway)",Op Rsiks & Security
100,Target Limits Info,,TBC Solutions,Web App,.Net,,Retail Business,Yes,Cancelled,,"Target Limits სისტემის მიერ დათვლილი ლიმიტების ნახვის საშუალება (ფილიალებისთვის). არის დროებითი სისტემა, სანამ Target Limits სისტემას ექნება Front-ი. არ არის სხვა სისტემებთან ინტეგრირებული (მონაცემების ატვირთვა ხდება ექსელის ფაილის საშუალებით)",System for viewing limits calculated by Targets Limits system. Temporary application without integration with outher systems,Credit Product Origination
101,SAS,,SAS,Win App,N/A,Reporting,Data CoE,No,Active,Normal,"ანალიტიკური ინსტრუმენტი, საკრედიტო და მარკეტინგული სტატისტიკური მოდელების ასაგებად",Analytical tool for sales and credit statistical model development,DW & Analytics
102,Cards Campaign,,TBC Solutions,Win Service,.Net,Master,Payments,Yes,Active,Normal,"ბარათებით გადახდების წამახალისებელი აქცია, რომლის ფარგლებშიც კლიენტი იგებს გარკვეულ თანხას (უკონტაქტო ბარათებით ყოველ მე-10 გადახდაზე, კლიენტი იღებს 5 ლარს)","Contactless cards campaign system (on every 10th contactless payment, customer gets 5 GEL)",Debit Cards
103,P2P,,AzRy,App,Java,Master||Front,Payments,No,Active,Key,"პერსონალური გადარიცხვების სისტემა, სადაც მიმღების იდენტიფიკაცია ხდება ტელეფონიტ, იმაილით, ფეისბუქით და .ა.შ","P2P payment solution. Identification of receiver is done either by phone, email, facebook and etc.","Payments (FT, Bill Payments, Remittances)||Self Service Channels"
104,MLO/WLO,,Alta Software,Web App,.Net,Front,MSME,Yes,Active,Key,"სასესხო განაცხადების მართვის სისტემა მიკრო სეგმენტისთვის, ვებზე და ანდროიდზე.","loan Apllication magament system for micro segment, Available on Web and Andoind devices","Credit Product Origination||Branch FEs (Call Centre, Branch, Back Office)"
105,EMS,,AzRy,Win App,Java,Master,Payments,No,Active,Normal,კიოსკ-ტერმინალებისთვის ინკასაციის მართვის სისტემა,Cash Delivery management system for Kiosk Terminals,Cash Management
106,LOS Retail,LOS,FICO,Web App,Outsystems,Master||Mediator||Front,Retail Business,No,Active,Critical,საკრედიტო პროდუქტების ინიცირების (origination) სისტემა,Loans origination system,"Credit Product Origination||Branch FEs (Call Centre, Branch, Back Office)"
107,LOS Repayment Service,LMS,Alta Software,Web Service,.Net,Mediator,Retail Business,Yes,Active,Critical,"სესხების გადაფარვის სერვისი, რომელიც Alta Software-მა შექმნა LOS-ისთვის",Loans repayment service created by Alta Software and used by LOS for covering old loans with new one,Credit Product Origination
